id,research_line
ROSSANA MARIA DE CASTRO ANDRADE,Engenharia de Software
MARCIO ESPINDOLA FREIRE MAIA,Redes de Computadores
MIGUEL FRANKLIN DE CASTRO,Redes de Computadores
FERNANDO ANTONIO DE CARVALHO GOMES,Logica e Inteligencia Artificial
CARLOS EDUARDO FISCH DE BRITO,Logica e Inteligencia Artificial
JOAQUIM BENTO CAVALCANTE NETO,Computacao Grafica
YURI LENON BARBOSA NOGUEIRA,Computacao Grafica
JAVAM DE CASTRO MACHADO,Banco de Dados
PAULO ARMANDO CAVALCANTE AGUILAR,Redes de Computadores
WINDSON VIANA DE CARVALHO,Engenharia de Software
LINCOLN SOUZA ROCHA,Engenharia de Software
JOSE ANTONIO FERNANDES DE MACEDO,Banco de Dados
CRETO AUGUSTO VIDAL,Computacao Grafica
FERNANDO ANTONIO MOTA TRINTA,Engenharia de Software
EMANUEL BEZERRA RODRIGUES,Redes de Computadores
CARINA TEIXEIRA DE OLIVEIRA,Redes de Computadores
VANIA MARIA PONTE VIDAL,Banco de Dados
TICIANNE DE GOIS RIBEIRO DARIN,Engenharia de Software
IGO RAMALHO BRILHANTE,Banco de Dados
ANA TERESA DE CASTRO MARTINS,Logica e Inteligencia Artificial
MARCELINO CAVALCANTE PEQUENO,Logica e Inteligencia Artificial
JOAO PAULO PORDEUS GOMES,Logica e Inteligencia Artificial
VALERIA MAGALHAES PEQUENO,Banco de Dados
JOAO FERNANDO LIMA ALCANTARA,Logica e Inteligencia Artificial
LEONARDO OLIVEIRA MOREIRA,Banco de Dados
ANA KAROLINNA MAIA DE OLIVEIRA,Algoritmos e Otimizacao
CLAUDIA LINHARES SALES,Algoritmos e Otimizacao
ANDREIA LIBORIO SAMPAIO,Logica e Inteligencia Artificial
MARIO ANTONIO DO NASCIMENTO,Banco de Dados
JAIME HERNAN SANCHEZ ILABACA,Engenharia de Software
ARTHUR DE CASTRO CALLADO,Redes de Computadores
JOSE NEUMAN DE SOUZA,Redes de Computadores
JOAO BOSCO FERREIRA FILHO,Engenharia de Software
EMANUELE MARQUES DOS SANTOS,Computacao Grafica
RAFAEL CASTRO DE ANDRADE,Algoritmos e Otimizacao
MANOEL BEZERRA CAMPELO NETO,Algoritmos e Otimizacao
FRANCISCO HERON DE CARVALHO JUNIOR,Computacao de Alto Desempenho
LUIS GUSTAVO BASTOS PINHO,Algoritmos e Otimizacao
JOSE MARIA DA SILVA MONTEIRO FILHO,Banco de Dados
JOAO PAULO DO VALE MADEIRO,Banco de Dados
FRANCESCO CORONA,Logica e Inteligencia Artificial
VICTOR ALMEIDA CAMPOS,Algoritmos e Otimizacao
RUDINI MENEZES SAMPAIO,Algoritmos e Otimizacao
RICARDO CORDEIRO CORREA,Algoritmos e Otimizacao
VLADIA CELIA MONTEIRO PINHEIRO,Logica e Inteligencia Artificial
REINALDO BEZERRA BRAGA,Redes de Computadores
DAVI ROMERO DE VASCONCELOS,Algoritmos e Otimizacao
MAURO CAVALCANTE PEQUENO,Engenharia de Software
GABRIEL ANTOINE LOUIS PAILLARD,Redes de Computadores
ANTONIO CAMINHA MUNIZ NETO,Algoritmos e Otimizacao
VALERIA CESARIO TIMES,Banco de Dados
BERNADETTE FARIAS LOSCIO,Banco de Dados
TARCISIO HAROLDO CAVALCANTE PEQUENO,Logica e Inteligencia Artificial
CARLOS DIEGO RODRIGUES,Algoritmos e Otimizacao
ANTONIO MAURO BARBOSA DE OLIVEIRA,Redes de Computadores
JULIO WILSON RIBEIRO,Algoritmos e Otimizacao
ANGELO RONCALLI ALENCAR BRAYNER,Banco de Dados
NABOR DAS CHAGAS MENDOCA,Redes de Computadores
MARCO ANTONIO CASANOVA,Banco de Dados
JOSE GILVAN RODRIGUES MAIA,Computacao Grafica
WAMBERTO WEBER MIRANDA PEIXOTO DE VASCONCELOS,Redes de Computadores
MAURO OLIVEIRA,Redes de Computadores
FRANCICLEBER MARTINS FERREIRA,Logica e Inteligencia Artificial
MARIO MAURICIO FIALLOS AGUILAR,Redes de Computadores
JOSE RIVERSON ARAUJO CYSNE RIOS,Engenharia de Software
ANTONIO CLECIO FONTELLES THOMAZ,Algoritmos e Otimizacao
ALBERTO SAMPAIO LIMA,Redes de Computadores
DAVID COUDERT,Algoritmos e Otimizacao
PHILIPPE MICHELON,Algoritmos e Otimizacao
RAPHAELLE CHAINE,Computacao Grafica
PEDRO DE ALCANTARA DOS SANTOS NETO,Engenharia de Software
KARINE BENNIS ZEITOUNI,Banco de Dados
FABIO ANDRE MACHADO PORTO,Banco de Dados
KATHIA MARCAL DE OLIVEIRA,Engenharia de Software
ANDREA CYNTHIA SANTOS DUHAMEL,Algoritmos e Otimizacao
DARIO VIEIRA CONCEICAO,Redes de Computadores
TICIANA LINHARES COELHO DA SILVA,Banco de Dados
CARLA ILANE MOREIRA BEZERRA,Engenharia de Software
PAULO ANTONIO LEAL REGO,Redes de Computadores
CESAR LINCOLN CAVALCANTE MATTOS,Logica e Inteligencia Artificial
FLAVIO RUBENS DE CARVALHO SOUSA,Banco de Dados
AJALMAR REGO DA ROCHA NETO,Logica e Inteligencia Artificial
EVANDRO PARENTE JUNIOR,Computacao Grafica
JOSE CLAUDIO DO NASCIMENTO,Redes de Computadores
JOSE DE AGUIAR MORAES FILHO,Banco de Dados
OSVALDO DE SOUZA,Redes de Computadores
YACINE GHAMRI-DOUDANE,Redes de Computadores
VALERIA LELLI LEITAO DANTAS,Engenharia de Software
